Report,What it does,When it runs,Output / Recipients,How to run,Category,Script file,Technical notes
Industry Analysis,Breaks down accounts and revenue by industry - useful for sector-level reporting or presentations.,Run manually when needed,"CSVs: industry_analysis_*.csv, industry_period_*.csv, industry_account_*.csv",python3 industry_analysis.py,On-demand reports,industry_analysis.py,Reads BookingDataAll + BookingData + Accounts from S3.
Monthly SalesIQ Stats,Pulls a full year of monthly SalesIQ chat statistics - useful for annual reviews.,Run manually when needed,CSV: salesiq_monthly_YYYY.csv,python3 salesiq_monthly_report.py - to choose a year: export YEAR=2025 first,On-demand reports,salesiq_monthly_report.py,Different from the weekly report - this is for historical analysis across a full year.
PPC Attribution Report,Matches PPC ad clicks in Google Analytics with TryBooking sign-ups to show which campaigns are converting.,Run manually when needed,CSV saved to reports/,python3 ppc_reporting.py - to test: export TEST_MODE=1 first. Campaign config: config/ppc_campaigns.json,On-demand reports,ppc_reporting.py,Data runs from 2024-06-01 to today. Requires GA4_PROPERTY_ID and GA4_SERVICE_ACCOUNT_KEY.
Regional Breakdown,Shows the regional distribution of accounts and events across the UK based on postcodes.,Run manually when needed,"CSVs: account_regional_report_*.csv, event_regional_report_*.csv",python3 regional_segmentation.py,On-demand reports,regional_segmentation.py,Uses postcode areas to assign UK regions.
Keyword Analysis,"Analyses event names to identify common types of events (e.g. balls, concerts, quiz nights) and how they trend over time.",Run manually when needed,"CSVs: keyword_analysis_report*.csv, focused variants","python3 keyword_analysis_report.py - options: --keywords, --top_n, --industry_filter",On-demand reports,keyword_analysis_report.py,Logic in modules/event_keyword_analysis.py.
Mailshake Acquisition Report,"Pulls every Mailshake outreach send, matches them against TryBooking accounts, and reports which prospects signed up after being emailed (acquisition attribution).",Run manually when needed,Acquisition report as JSON + CSV; review state stored in app_state.db,python3 mailshake_acquisition.py - preview without uploading: --dry-run - also save locally: --local-dir out,On-demand reports,mailshake_acquisition.py,Reads Mailshake API + Users/Accounts + DuckDB account metrics; reads/writes review decisions+exclusions in SQLite app_state.db. Requires MAILSHAKE_API_KEY. Not on cron.
Event Completion Reminders,Tags users in GetVero after their events complete so they receive automated follow-up messages.,Run manually when needed,Tags applied in GetVero; CSV audit trail saved locally,python3 event_completion_reminders.py - always test first: export TEST_MODE=1,CRM actions,event_completion_reminders.py,TEST_MODE skips live Vero writes. API client: modules/utils/vero_api.py.
Funds Remaining Reminders,Tags users in GetVero who have funds remaining from past events so they can be reminded to use them.,"PAUSED PROJECT - not scheduled, not currently run",Tags applied in GetVero; CSV audit trail saved locally,python3 funds_remaining_reminder.py - always test first: export TEST_MODE=1,CRM actions,funds_remaining_reminder.py,"PAUSED PROJECT - kept for reference, may resume. TEST_MODE skips live Vero writes."
Pricing Scenario Modeller,"Models what revenue would look like under different fee structures (online, Stripe, box office card), and compares pricing models side by side.",Run manually when needed,CSVs for each scenario saved to output/,Run scenarios: python3 pricing_scenarios_2026.py (config: pricing_scenarios.yml). Then compare: python3 pricing_model_comparison.py (export YEAR=2025 to choose a year).,Planning & analysis,pricing_scenarios_2026.py + pricing_model_comparison.py,Two scripts that work together. pricing_scenarios_2026.py reads 2025 booking data as the baseline (intended to be made generic for future years); pricing_model_comparison.py compares the resulting models.
Account Name Lookup,"Takes a list of account names and fuzzy-matches them against TryBooking data - useful for identifying duplicates, merges, or looking up accounts by partial name.",Run manually when needed,CSV with matched / needs review / no match results,python3 check_account_names.py - requires a names.txt file in the working directory,Utilities,check_account_names.py,Fuzzy matching - handles typos and partial names.
Box Office Account Ranking,Ranks every account by Box Office card-present takings over the rolling last 365 days. Spots the biggest box-office clients; can also filter to a single account.,Run manually when needed,box_office_cardpresent_accounts.csv (ranked by fees inc VAT) + top 15 to console,python3 account_box_office_cardpresent.py - single account: python3 account_box_office_cardpresent.py 19815,Utilities,account_box_office_cardpresent.py,"Rolling 365 days, Europe/London. Card-present only (Cash excluded). Fees inc VAT. Read-only. Reads BookingData from S3."
PPC Credential Check,Checks that AWS and Google Analytics credentials are correctly configured before running the PPC report.,Run manually when needed,Console output (pass/fail),python3 test_ppc_setup.py,Utilities,test_ppc_setup.py,Safe to run at any time - read-only.
Vero Connectivity Check,Checks that the Vero API connection is working before running CRM action scripts.,Run manually when needed,Console output (pass/fail),python3 test_vero_api.py,Utilities,test_vero_api.py,Runs in test mode - no live writes.
Disaster Recovery Restore,Restores the Pi's databases and config from a SharePoint backup - used if the Pi fails or data is lost.,Run manually in an emergency,"Local files restored, decrypted (.env, ecosystem.config.cjs, *.db warehouses)","python3 restore_from_sharepoint.py --list to see available dates, then --date YYYY-MM-DD",Infrastructure,restore_from_sharepoint.py,"Always run --list first. Prompts for Azure creds (bootstrap) AND the backup passphrase (BACKUP_SECRET_PASSPHRASE, from the password manager) to decrypt - keep it to hand. Restores from backups made by backup_to_sharepoint.py."
